Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
TRENDS IN RADAR COUNTS OF MARBLED MURRELETS <i>BRACHYRAMPHUS MARMORATUS</i> IN BRITISH COLUMBIA (1996-2018): EFFECTS OF 'THE BLOB' MARINE HEATWAVE AND PREY FISH ABUNDANCE,"Drever, MC; Mcallister, MK; Bertram, DF; Schroeder, BK; Woo, KJ","During 2014-2016, the northeast Pacific Ocean experienced a large-scale marine heatwave (nicknamed 'The Blob'), an event that was associated with die-offs of several marine bird species. The Marbled Murrelet Brachyramphus marmoratus is a small seabird in this region for which we evaluated trends in abundance-for the purposes of conservation planning-during radar surveys at 58 sites in coastal British Columbia, from 1996 to 2018, and for which we determined whether trends may have been affected by 'The Blob'. A hierarchical Bayesian model allowed us to separate long-term trends from short-term annual fluctuations ('year effects') that might have resulted from changes in ocean conditions, and it also allowed us to test whether predicted regional counts were associated with two indices of marine conditions: (1) measured abundance of a prey species, Pacific Herring Clupea pallasii; and (2) sea surface temperature (SST). Province-wide mean annual rate of change in counts was significantly negative, with a posterior median of -0.023 (95% credible interval: -0.033, -0.014); mean rate of change in counts per year was negative for all six Marbled Murrelet Conservation Regions; and trends were significantly negative at the Central Mainland Coast, East Vancouver Island, Haida Gwaii, and the South Mainland Coast conservation regions. Year effects during or after 'The Blob' at West and North Vancouver Island (2016) and East Vancouver Island (2018) conservation regions were not statistically significant. Mean predicted regional counts of murrelets showed weakly positive correlations with age two herring recruitment, and no consistent associations with SST. These results indicate that the marine heatwave did not strongly affect forest-bound murrelets and are consistent with the hypothesis that ongoing loss of terrestrial nesting habitat is associated with population declines of Marbled Murrelets in British Columbia.",2021,,MARINE ORNITHOLOGY,49,1,37-49,WOS:000640797400005,,,#14,Drever 2021,"",ecosystem response; heatwave
Two types of warm blobs in the Northeast Pacific and their potential effect on the El Nino,"Chen, ZY; Shi, J; Li, C","In recent years, the predominant marine heatwaves in Northeast Pacific, the so-called warm blobs, have exerted substantial environmental and socioeconomic influences on North America and its coastal waters. We select the historical warm blob events from 1951 to 2018 and divide them into double-peak and single-peak categories by their seasonal evolutions. The heat budget analyses attribute the leading contributor of double-peak warm blobs to the surface heat flux at the first wintertime maximum while the vertical entrainment and diffusion take responsibility for the second peak 5 months later. The positive net heat flux anomalies indicate less heat loss from ocean to the atmosphere due to an exceptionally anomalous high as the northern lobe of the North Pacific Oscillation and intensive easterly anomalies, which counteract with the climatological westerlies. For the single-peak category, the vertical entrainment and diffusion primarily trigger the warm blob and also lead to its termination. Moreover, the single-peak warm blob induces positive sea surface temperature (SST) anomalies near the Baja California and establishes the Pacific Meridional Mode as the oceanic bridge to convey its influence onto the tropics and trigger the following El Nino around 10 months after the peak. In addition, the subsurface processes, such as the trade wind charging mechanism, also play an essential part by bringing warmer water upwards to the surface and hence cause the positive SST anomalies in equatorial central-eastern Pacific. However, the interim connection between the double-peak warm blob and El Nino is not very clear although their intensities appear to be stronger.",2021,,INTERNATIONAL JOURNAL OF CLIMATOLOGY,41,4,2810-2827,WOS:000605458100001,10.1002/joc.6991,,#15,Chen 2021,"",heatwave; physical drivers
Northeast Pacific warm blobs sustained via extratropical atmospheric teleconnections,"Shi, J; Huang, H; Fedorov, AV; Holbrook, NJ; Zhang, Y; Ding, RQ; Luo, YY; Wang, SP; Chen, JJ; Hu, X; Liu, QY; Huang, F; Lin, XP","Large-scale marine heatwaves in the Northeast Pacific (NEP), identified here and previously as 'warm blobs', have devastating impacts on regional ecosystems. An anomalous atmospheric ridge over the NEP is known to be crucial for maintaining these warm blobs, also causing abnormally cold temperatures over North America during the cold season. Previous studies linked this ridge to teleconnections from tropical sea surface temperature anomalies. However, it was unclear whether teleconnections from the extratropics could also contribute to the ridge. Here we show that planetary wave trains, triggered by increased rainfall and latent heat release over the Mediterranean Sea accompanied by decreased rainfall over the North Atlantic, can transport wave energy to the NEP, guided by the westerly jet, and induce a quasi-barotropic ridge there. Our findings provide insights into extratropical teleconnections sustaining the NEP ridge, offering a source of potential predictability for the warm blobs and temperature fluctuations over North America.",2024,,NATURE COMMUNICATIONS,15,1,,WOS:001255499100012,10.1038/s41467-024-47032-x,,#16,Shi 2024,"",heatwave; physical drivers
"Salinity effects on the 2014 warm ""Blob"" in the Northeast Pacific","Zhi, H; Lin, PF; Zhang, RH; Chai, F; Liu, HL","A significant strong, warm ""Blob"" (a large circular water body with a positive ocean temperature anomaly) appeared in the Northeast Pacific (NEP) in the boreal winter of 2013-2014, which induced many extreme climate events in the US and Canada. In this study, analyses of the temperature and salinity anomaly variations from the Array for Real-time Geostrophic Oceanography (Argo) data provided insights into the formation of the warm ""Blob"" over the NEP. The early negative salinity anomaly dominantly contributed to the shallower mixed layer depth (MLD) in the NEP during the period of 2012-2013. Then, the shallower mixed layer trapped more heat in the upper water column and resulted in a warmer sea surface temperature (SST), which enhanced the warm ""Blob"". The salinity variability contributed to approximately 60% of the shallowing MLD related to the warm ""Blob"". The salinity anomaly in the warm ""Blob"" region resulted from a combination of both local and nonlocal effects. The freshened water at the surface played a local role in the MLD anomaly. Interestingly, the MLD anomaly was more dependent on the local subsurface salinity anomaly in the 100-150 m depth range in the NEP. The salinity anomaly in the 50-100 m depth range may be linked to the anomaly in the 100-150 m depth range by vertical advection or mixing. The salinity anomaly in the 100-150 m depth range resulted from the eastward transportation of a subducted water mass that was freshened west of the dateline, which played a nonlocal role. The results suggest that the early salinity anomaly in the NEP related to the warm ""Blob"" may be a precursor signal of interannual and interdecadal variabilities.",2019,,ACTA OCEANOLOGICA SINICA,38,9,24-34,WOS:000485996200003,10.1007/s13131-019-1450-2,,#17,Zhi 2019,"",heatwave; physical impact
The warm Blob in the northeast Pacific-the bridge leading to the 2015/16 El Nino,"Tseng, YH; Ding, RQ; Huang, XM","We address the occurrence of the warm anomaly, known as the Blob, that developed from late 2013 to 2015 in the northeast Pacific and its connection with the El Nio-Southern Oscillation (ENSO) variability. The warm Blob results from the enhanced second ocean-atmosphere (O-A) coupled mode of variability in the tropical and North Pacific, representing a small part of the Victoria mode (VM) in the northeast Pacific forced by the strengthened North Pacific Oscillation-like atmospheric pattern since 2013. We also show that this second O-A mode reflects the meridional variability through the tropical-extratropical teleconnection and is an important precursor to the ENSO variability. The process is confirmed by the coupled patterns that evolved from late 2013 to 2016 and the multi-year persistence of the warm Blob. We emphasize the role of evolving basin-scale VM but not the warm Blob itself prior to the ENSO variability. Hence, the Blob and the most recent 2015/ 16 El Nino, which differs significantly from the other large El Ninos in terms of the triggering hemisphere, are actually linked rather than independent phenomena.",2017,,ENVIRONMENTAL RESEARCH LETTERS,12,5,,WOS:000402550600003,10.1088/1748-9326/aa67c3,,#18,Tseng 2017,"",heatwave; physical drivers
Rapidly Changing East Asian Marine Heatwaves Under a Warming Climate,"Lee, S; Park, MS; Kwon, M; Park, YG; Kim, YH; Choi, N","The East Asian marginal seas (EAMS) are one of the fastest-warming ocean regions globally. This study presents the long-term trends (1982-2020) of extreme ocean warming events called ""marine heatwaves"" over the EAMS and examines the relationships between marine heatwave trends and mean SST warming trends. We focus on five subregions with different influences from atmospheric perturbation and ocean currents: the northern East Sea (N-ES), southern East Sea, Yellow Sea, Korea Strait (KS), and East China Sea (ECS). During the past four decades, marine heatwave duration and intensity in the EAMS have increased to approximately +4 days and +0.3 degrees C per decade on average, respectively. In summer, the positive trend of marine heatwaves is the highest in the ECS, primarily due to the rapidly increasing mean sea surface temperature (SST). In winter, the N-ES reveals remarkably rapid increases in marine heatwave properties in the last two decades, with increasing rates of approximately 6.2 (4.9) times longer total duration (stronger intensity) than the global average changes. Beyond the impact of the rapid increase in mean SST, the N-ES marine heatwaves can be further extended due to the northward shift of the East Korea Warm Current. In general, mean SST changes are critical to the increasing trend in marine heatwave duration and intensity. This study further emphasizes that the changes in ocean circulation may expedite more rapid changes in extreme ocean events, which can produce more vulnerability in some places, such as the N-ES, to marine heatwaves under continued global warming.Plain Language Summary Extreme warming events of the ocean occurring from several days to weeks significantly impact marine ecosystems. This study investigates the increasing trends of extremely high ocean warming, namely ""marine heatwave,"" over East Asian marginal seas. During the past four decades, marine heatwave duration and intensity have increased to approximately +4 days and +0.3 degrees C per decade on average, respectively. Comparing the earlier period (1982-2000) and the recent period (2001-2020), the most dramatic changes in marine heatwave properties, including frequency, duration, and intensity, occur in the northern East Sea in winter, significantly increasing 763.33% in duration. During summer, the East China Sea reveals the most significant increasing ratio of marine heatwave properties, with change rates of 227.07% in duration. Marine heatwave characteristics have a statistically increasing trend in both seasons in most regions due to global warming. Beyond the impact of the change in mean SST, we find the change in SST variance via shifting ocean current leads to the excessive trend of marine heatwaves.",2023,,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,128,6,,WOS:001001731900001,10.1029/2023JC019761,,#19,Lee 2023,"KAREN HUNTER (2025-08-23 08:34:10)(Select): I chose to include this study because it is ECE focused in the NP, and provides an analysis of MHW events in combination with trends in SST.  Good paper for East Asia census piece.; ",heatwave; physical drivers
Characteristics and mechanisms of long-lasting 2021-2022 summer Northeast Pacific warm blobs,"Chen, JJ; Li, RL; Xie, S; Wei, JQ; Shi, J","Warm blobs are persistently warmer-than-normal seawaters over the Northeast Pacific (NEP), which cause substantial impacts on marine ecosystems and climate. Recently, the warm blobs occurred consecutively in spring and summer of 2021 and 2022. The warm blob in 2021 was mostly located east of 155 degrees W, while it shifted to west of 155 degrees W in 2022. Based on a mixed-layer heat budget analysis, we find that atmospheric processes positively and dominantly contributed in May 2021 and July 2022. Specifically, less latent heat loss from the ocean caused by reducing background westerlies and evaporation intensified the 2021 warm blob, while more shortwave radiation heating due to decreased low clouds intensified the one in 2022. However, the positive contribution of the atmospheric processes cannot maintain a season due to their strong internal variability. The seasonal persistence of the warm blobs, instead, is owing to the offset between the atmospheric and oceanic processes. We highlight the importance of atmospheric processes in the evolution of the NEP warm blobs in spring and summer, which lacks sufficient investigation but can provide more potential predictability for the NEP warm blobs.",2023,,FRONTIERS IN MARINE SCIENCE,10,,,WOS:000980061600001,10.3389/fmars.2023.1158932,,#20,Chen 2023,"",heatwave
Role of Mixed Layer Depth in the Location and Development of the Northeast Pacific Warm Blobs,"Shi, J; Tang, C; Liu, QY; Zhang, Y; Yang, HC; Li, C","Warm blobs are persistent warm anomalies in the Northeast Pacific (NEP) upper ocean. Here, we assess the role of mixed layer depth (MLD) in their location and development based on ocean-atmosphere reanalysis data. We find that warm blobs occur more frequently over 165 degrees-130 degrees W and 35 degrees-50 degrees N with shallow MLD. They are largely confined to the mixed layer, although substantial portions exist beneath it in summer when the MLD shoals. Based on a mixed-layer heat budget analysis, we reveal that anomalous MLD and heat flux contribute dominantly to the surface heat flux term over the study area from May to July and from September to March, respectively, and have a large effect on warm blob development. Therefore, the MLD has important implications for the location and seasonal evolution of warm blobs and temperature diagnosis over the NEP.",2022,,GEOPHYSICAL RESEARCH LETTERS,49,16,,WOS:000843341100001,10.1029/2022GL098849,,#22,Shi 2022,"",heatwave; physical drivers
"Wild populations of Pacific oysters <i>(Magallana gigas)</i> emerge during the blob heatwave in south Puget Sound, Washington USA","Beck, EL; Ruesink, J; Troyer, S; Behrens, M","Marine heatwaves have altered ecosystems globally, including changing community composition and facilitating the spread of invasive species. In south Puget Sound, Washington (USA), non-native Pacific oysters (Magallana gigas) have been farmed extensively for almost a century and grown in enhancement sites, however, they have only recently recruited in the wild. This study explores how the appearance of Pacific oysters was related spatially (eight sites) and temporally (decade) to warmer summer water temperatures in south Puget Sound and compares oyster persistence across five sites where recruitment occurred. The largest recruitment event from 2012-2020 was in the summer of 2015, in the middle of the east Pacific Blob marine heatwave which led to warm water temperatures off the west coast of North America. Throughout the study period, the number of oyster recruits each year was positively correlated with warmer water temperatures. Oyster population densities differed across the five sites where recruitment occurred and generally declined after 2015, but showed no site by year interactions, which is consistent with spatially-variable recruitment and similar post-recruitment survival. Mean oyster shell heights also differed among sites, which could reflect different growth trajectories or recreational harvest patterns. This study supports the claim that warming sea surface temperatures may interact with species introductions to change modern biogeography.",2024,,FRONTIERS IN MARINE SCIENCE,11,,,WOS:001187365400001,10.3389/fmars.2024.1292062,,#23,Beck 2024,"",ecosystem response; heatwave
Linking the Tropical Northern Hemisphere Pattern to the Pacific Warm Blob and Atlantic Cold Blob,"Liang, YC; Yu, JY; Saltzman, ES; Wang, F","During 2013-15, prolonged near-surface warming in the northeastern Pacific was observed and has been referred to as the Pacific warm blob. Here, statistical analyses are conducted to show that the generation of the Pacific blob is closely related to the tropical Northern Hemisphere (TNH) pattern in the atmosphere. When the TNH pattern stays in its positive phase for extended periods of time, it generates prolonged blob events primarily through anomalies in surface heat fluxes and secondarily through anomalies in wind-induced ocean advection. Five prolonged (>= 24 months) blob events are identified during the past six decades (1948-2015), and the TNH-blob relationship can be recognized in all of them. Although the Pacific decadal oscillation and El Nino can also induce an arc-shaped warming pattern near the Pacific blob region, they are not responsible for the generation of Pacific blob events. The essential feature of Pacific blob generation is the TNH-forced Gulf of Alaska warming pattern. This study also finds that the atmospheric circulation anomalies associated with the TNH pattern in the North Atlantic can induce SST variability akin to the so-called Atlantic cold blob, also through anomalies in surface heat fluxes and wind-induced ocean advection. As a result, the TNH pattern serves as an atmospheric conducting pattern that connects some of the Pacific warm blob and Atlantic cold blob events. This conducting mechanism has not previously been explored.",2017,,JOURNAL OF CLIMATE,30,22,9041-9057,WOS:000416488200011,10.1175/JCLI-D-17-0149.1,,#27,Liang 2017,"",heatwave
